origin_name,verify_name,url
CV-61/突击者号 航空母舰,<em>突击者号航空母舰</em>,https://baike.baidu.com/item/%E7%AA%81%E5%87%BB%E8%80%85%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1872062
CVN-73/华盛顿号/George Washington 航空母舰,乔治·,https://baike.baidu.com/item/%E4%B9%94%E6%B2%BB%C2%B7%E5%8D%8E%E7%9B%9B%E9%A1%BF%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/4689455
CVB-41/中途岛级航空母舰/Midway,<em>中途岛号航空母舰</em>,https://baike.baidu.com/item/%E4%B8%AD%E9%80%94%E5%B2%9B%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/7618536
CVN-76/里根号/Ronald Reagan 航空母舰,<em>里根号航空母舰</em>,https://baike.baidu.com/item/%E9%87%8C%E6%A0%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3748888
CVN-74/约翰·C·斯坦尼斯号 航空母舰,<em>斯坦尼斯号航空母舰</em>,https://baike.baidu.com/item/%E6%96%AF%E5%9D%A6%E5%B0%BC%E6%96%AF%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8739030
笠置号/Kasagi ,笠置号/Kasagi ,https://baike.baidu.com/item/%E7%AC%A0%E7%BD%AE%E5%8F%B7/Kasagi%20
祥凤号/Shoho,祥凤号/Shoho,https://baike.baidu.com/item/%E7%A5%A5%E5%87%A4%E5%8F%B7/Shoho
翔鹤号/Shokaku 航空母舰,<em>翔鹤号航空母舰</em>,https://baike.baidu.com/item/%E7%BF%94%E9%B9%A4%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/12611443
云龙号/Unryu,云龙号/Unryu,https://baike.baidu.com/item/%E4%BA%91%E9%BE%99%E5%8F%B7/Unryu
瑞鹤号/Zuikak,瑞鹤号/Zuikak,https://baike.baidu.com/item/%E7%91%9E%E9%B9%A4%E5%8F%B7/Zuikak
葛城/Katsuragi  航空母舰,<em>葛城/katsuragi</em>,/item/%E8%91%9B%E5%9F%8E%2Fkatsuragi
基辅级航空母舰,基辅级航空母舰,https://baike.baidu.com/item/%E5%9F%BA%E8%BE%85%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
凤翔级/Hosho航空母舰,<em>凤翔</em>,https://baike.baidu.com/item/%E5%87%A4%E7%BF%94%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/7878330
苍龙号/Soryu 航空母舰,<em>苍龙号航空母舰</em>,https://baike.baidu.com/item/%E8%8B%8D%E9%BE%99%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/10472777
冲鹰号航空母舰/Chuyo ,<em>冲鹰号航母</em>,https://baike.baidu.com/item/%E5%86%B2%E9%B9%B0%E5%8F%B7%E8%88%AA%E6%AF%8D/1545856
信浓号/Shinano,信浓号/Shinano,https://baike.baidu.com/item/%E4%BF%A1%E6%B5%93%E5%8F%B7/Shinano
