origin_name,verify_name,('_name' 5),url
 A5M/96式舰载战斗机,九六式舰载战斗机,('式舰载战斗机' 6),https://baike.baidu.com/item/%E4%B9%9D%E5%85%AD%E5%BC%8F%E8%88%B0%E8%BD%BD%E6%88%98%E6%96%97%E6%9C%BA/7528439
狂风战斗机,狂风战斗机,('狂风战斗机' 5),https://baike.baidu.com/item/%E7%8B%82%E9%A3%8E%E6%88%98%E6%96%97%E6%9C%BA
MXY-7樱花特别攻击机,MXY-7樱花特别攻击机,('MXY-7樱花特别攻击机' 12),https://baike.baidu.com/item/MXY-7%E6%A8%B1%E8%8A%B1%E7%89%B9%E5%88%AB%E6%94%BB%E5%87%BB%E6%9C%BA
九试单座战斗机,九试单座战斗机,('九试单座战斗机' 7),https://baike.baidu.com/item/%E4%B9%9D%E8%AF%95%E5%8D%95%E5%BA%A7%E6%88%98%E6%96%97%E6%9C%BA
F-1战斗机,F-1战斗机,('F-1战斗机' 6),https://baike.baidu.com/item/F-1%E6%88%98%E6%96%97%E6%9C%BA
Me 265战斗机,Me265战斗机,('265战斗机' 6),https://baike.baidu.com/item/Me265%E6%88%98%E6%96%97%E6%9C%BA/5633100
1MF10 七试舰上战斗机,1MF10 七试舰上战斗机,('1MF10 七试舰上战斗机' 13),https://baike.baidu.com/item/1MF10%20%E4%B8%83%E8%AF%95%E8%88%B0%E4%B8%8A%E6%88%98%E6%96%97%E6%9C%BA
Ki-61飞燕/三式战斗机,ki-61飞燕/三式,('i-61飞燕/三式' 9),/item/ki-61%E9%A3%9E%E7%87%95%2F%E4%B8%89%E5%BC%8F
Ki-44钟馗/2式单座战斗机,ki-44钟馗/2式,('i-44钟馗/2式' 9),/item/ki-44%E9%92%9F%E9%A6%97%2F2%E5%BC%8F
Ki-60试作战斗机,ki-60,('i-60' 4),/item/ki-60
F-16XL战隼战斗机,F-16XL战斗机,('F-16XL战' 7),/item/F-16XL%E6%88%98%E6%96%97%E6%9C%BA
Ki-64试作战斗机,ki-64,('i-64' 4),/item/ki-64
Me 329战斗机,Me329战斗机,('329战斗机' 6),https://baike.baidu.com/item/Me329%E6%88%98%E6%96%97%E6%9C%BA/5633048
